unique_id,date,district,address,area_msquare,age,total_room,floor,price,distance_to_center,distance_to_hospital,within_the_site,elevator
0,01/01/2024,Pursaklar,Saray Fatih Mah,85,0,3,0,12500,5.3,5.1,No,Yes
1,30/12/2023,Pursaklar,Mimar Sinan Cad,80,8,3,0,8000,2.2,1.5,No,No
2,29/12/2023,Pursaklar,Altinova Mah,105,8,3,1,12500,11.2,11,No,Yes
3,27/12/2023,Pursaklar,Ayyildiz Mah,90,18,3,2,10250,3,4,No,No
4,27/12/2023,Pursaklar,Ayyildiz Mah,85,23,3,4,9500,3.2,4.2,Yes,No
5,25/12/2023,Pursaklar,Tevfik Ileri Mah,90,17,3,6,12000,2.5,4.4,Yes,Yes
6,24/12/2023,Pursaklar,Ayyildiz Mah,60,22,3,3,7500,3.3,4.6,No,No
7,19/12/2023,Pursaklar,Fatih Mah,85,19,3,0,5250,1.4,2.3,No,No
8,19/12/2023,Pursaklar,Yunus Emre Mah,80,13,3,0,11000,1.7,4.1,No,No
9,03/01/2024,Pursaklar,Merkez Mah,115,24,4,2,8500,1.5,2.6,No,No
10,02/01/2024,Pursaklar,Mimar Sinan Cad,120,1,4,2,26900,2.4,1.8,No,Yes
11,02/01/2024,Pursaklar,Fatih Mah,110,1,4,1,8500,1.4,2.3,No,No
12,02/01/2024,Pursaklar,Fatih Mah,120,12,4,3,12750,1.5,2.4,No,No
13,02/01/2024,Pursaklar,Pecenek Mah,135,2,4,1,8500,11.2,11.4,No,Yes
14,01/01/2024,Pursaklar,Fatih Mah,100,16,4,0,10500,1.6,2.5,No,Yes
15,01/01/2024,Pursaklar,Fatih Mah,130,14,4,3,10000,1.3,2.2,No,No
16,01/01/2024,Pursaklar,Saray Fatih Mah,135,1,4,2,14500,5.3,4.9,No,Yes
17,01/01/2024,Pursaklar,Mimar Sinan Cad,125,11,4,4,8000,2.3,1.6,No,Yes
18,04/01/2024,Pursaklar,Tevfik Ileri Mah,165,4,5,11,20000,2.6,4.5,No,Yes
19,04/01/2024,Pursaklar,Saray Fatih Mah,180,4,5,7,20000,5.1,4.9,Yes,Yes
20,04/01/2024,Pursaklar,Saray Cumhuriyet,140,7,5,3,18000,7,7.4,No,Yes
21,04/01/2024,Pursaklar,Saray Fatih Mah,160,3,5,9,17500,5.2,5,No,Yes
22,04/01/2024,Pursaklar,Saray Cumhuriyet,170,2,5,4,18500,7.2,7.6,Yes,Yes
23,04/01/2024,Pursaklar,Saray Fatih Mah,170,3,5,11,14000,5.3,5.1,Yes,Yes
24,03/01/2024,Pursaklar,Fatih Mah,150,0,5,1,19000,1.6,2.5,No,Yes
25,02/01/2024,Pursaklar,Saray Cumhuriyet,150,4,5,3,15500,7.1,7.5,Yes,Yes
26,01/01/2024,Pursaklar,Tevfik Ileri Mah,140,13,5,3,16000,2.9,4.8,No,No
27,04/01/2024,Cubuk,Esenboga,60,0,3,1,8000,13.8,12,No,Yes
28,03/01/2024,Cubuk,Asagicavundur Mah,75,6,3,4,6000,4.3,5.4,Yes,No
29,02/01/2024,Cubuk,Esenboga,70,0,3,1,8500,13.7,11.9,No,No
30,02/01/2024,Cubuk,Esenboga,50,0,3,2,7500,13.7,11.9,No,Yes
31,02/01/2024,Cubuk,Esenboga,65,2,3,1,10000,13.8,12,Yes,Yes
32,01/01/2024,Cubuk,Esenboga,60,0,3,3,8000,13.9,12.1,No,Yes
33,01/01/2024,Cubuk,Esenboga,65,0,3,3,7250,13.6,11.8,Yes,Yes
34,18/12/2023,Cubuk,Dumlipinar Mah,57,0,3,1,8500,18.7,17.6,No,Yes
35,31/12/2023,Cubuk,Asagicavundur Mah,65,6,3,1,6250,4.4,5.5,No,No
36,04/01/2024,Cubuk,Cumhuriyet Mah,120,18,4,2,6000,2.2,1.2,No,No
37,04/01/2024,Cubuk,Yildirim Beyazit Mah,115,0,4,1,8250,2.7,2.4,No,Yes
38,03/01/2024,Cubuk,Yavuz Selim Mah,125,18,4,3,7500,4.5,4.1,Yes,No
39,01/01/2024,Cubuk,Barbaros Mah,150,13,4,1,7750,3.1,2.7,No,No
40,01/01/2024,Cubuk,Yildirim Beyazit Mah,120,7,4,2,6500,3.1,2.6,No,No
41,01/01/2024,Cubuk,Cumhuriyet Mah,135,6,4,2,13500,1.4,0.9,No,Yes
42,01/01/2024,Cubuk,Esenboga,110,8,4,3,8000,12.5,12.1,No,Yes
43,31/12/2023,Cubuk,Cumhuriyet Mah,175,4,4,3,14000,1.5,1,Yes,Yes
44,31/12/2023,Cubuk,Yavuz Selim Mah,130,23,4,2,7600,4.8,4.2,Yes,No
45,04/01/2024,Cubuk,Yavuz Selim Mah,130,0,5,1,9500,4.6,3.8,No,Yes
46,25/12/2023,Cubuk,Cumhuriyet Mah,150,8,5,4,16000,1.6,0.9,No,Yes
47,26/12/2023,Cubuk,Esenboga,150,8,5,1,11000,12.8,12,No,Yes
48,23/12/2023,Cubuk,Akyurt/Yildirim Mah,130,4,5,3,12000,6.5,5.9,No,Yes
49,12/12/2023,Cubuk,Akyurt/Yildirim Mah,140,3,5,2,12000,6.5,5.9,No,Yes
50,30/12/2023,Cubuk,Saray Fatih Mah,180,3,5,6,17000,6.3,5.4,
51,18/12/2023,Cubuk,Saray Fatih Mah,160,4,5,8,17400,6,5.2,No,Yes
52,15/12/2023,Cubuk,Saray Cumhuriyet,155,3,5,3,15000,8.2,7.5,Yes,Yes
53,07/12/2023,Cubuk,Saray Fatih Mah,150,12,5,4,10500,6.5,5.8,No,Yes
54,04/01/2024,Kecioren,Ufuktepe/Kuscagiz,120,4,3,5,10000,2.9,2.1,No,Yes
55,03/01/2024,Kecioren,Ufuktepe/Pinarbasi,90,7,3,1,12000,1.8,1,No,Yes
56,01/01/2024,Kecioren,Ufuktepe/Atapark,90,7,3,1,8500,2.5,2,No,Yes
57,29/12/2023,Kecioren,Ufuktepe/Pinarbasi,90,13,3,1,10750,1.9,1.2,No,No
58,21/12/2023,Kecioren,Ufuktepe/Kuscagiz,135,9,3,5,12000,2.9,2.3,No,Yes
59,20/12/2023,Kecioren,Ufuktepe/Pinarbasi,75,32,3,1,9000,2.2,1.4,No,No
60,19/12/2023,Kecioren,Ufuktepe,100,13,3,0,12000,2.4,1.5,No,Yes
61,14/12/2023,Kecioren,Ufuktepe/Pinarbasi,75,31,3,2,10500,2.3,1.6,No,No
62,11/12/2023,Kecioren,Ufuktepe/Atapark,100,5,3,2,16000,2.4,1.7,No,Yes
63,04/01/2024,Kecioren,Ufuktepe/Kuscagiz,115,34,4,5,10500,3,2.2,No,No
64,04/01/2024,Kecioren,Baglum/Karsiyaka,115,13,4,4,7500,8,7.2,No,Yes
65,04/01/2024,Kecioren,Kanuni Mah,175,6,4,10,20000,5.1,4.3,Yes,Yes
66,04/01/2024,Kecioren,Baglum/Hisar Mah,115,13,4,4,12500,11.4,10.6,No,Yes
67,04/01/2024,Kecioren,Ufuktepe/Pinarbasi,100,23,4,1,10500,3.5,2.3,No,No
68,04/01/2024,Kecioren,Ufuktepe/Kuscagiz,135,13,4,2,14000,3.1,2.4,No,Yes
69,04/01/2024,Kecioren,Ufuktepe/Atapark,110,8,4,3,11500,2.7,1.9,No,Yes
70,04/01/2024,Kecioren,Ufuktepe/Kuscagiz,120,13,4,3,11000,3.1,2.3,No,No
71,04/01/2024,Kecioren,Baglum/Karsiyaka,100,18,4,3,13000,7.2,6.4,No,Yes
72,04/01/2024,Kecioren,Baglum/Karakaya,149,9,5,2,13000,6.9,6.1,No,Yes
73,03/01/2024,Kecioren,Ufuktepe/Atapark,140,8,5,2,13000,2.5,1.8,No,Yes
74,01/01/2024,Kecioren,Baglum/Karakaya,135,5,5,3,12000,7,6.3,No,Yes
75,01/01/2024,Kecioren,Baglum/Karakaya,140,2,5,3,19000,6.5,5.8,Yes,Yes
76,29/12/2023,Kecioren,Ufuktepe/Kuscagiz,160,11,5,2,14000,2.9,2.2,No,No
77,26/12/2023,Kecioren,Kanuni Mah,180,1,5,8,27500,5.2,4.1,Yes,Yes
78,26/12/2023,Keçiören,Baðlum/Karakaya,150,14,5,1,14000,7.1,6.4,No,Yes
79,20/12/2023,Keçiören,Ufuktepe/Kuþcaðýz,130,13,5,2,14000,2.8,1.9,No,No
80,19/12/2023,Keçiören,Ufuktepe/Atapark,145,4,5,2,20000,2.6,1.6,No,Yes
